SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec
120;NA;Castelnuovo cilento-vallo scalo;1025080.1138209363;4470033.678164002;72.4540023803711;NA;NA;Castelnuovo cilento-vallo scalo;51671;NA
121;NA;Castiglione del genovesi;994034.2736737495;4524153.833836663;498.1044006347656;NA;NA;Castiglione del genovesi;21778;NA
122;NA;Cava casa riceri;980732.9826559745;4520209.3440087;404.45281982421875;NA;NA;Cava casa riceri;51643;NA
123;NA;Cava dei tirreni;981810.8966263531;4521766.85241243;197.21829223632812;NA;NA;Cava dei tirreni;18917;NA
124;NA;Ceraso-isca vivaio forestale;1036388.097611704;4468846.165914178;832.68023681640625;NA;NA;Ceraso-isca vivaio forestale;51699;NA
125;NA;Cervinara;973704.9138978611;4555667.156648422;517.19317626953125;NA;NA;Cervinara;18897;NA
126;NA;Cetara;982238.0810620612;4515566.083816114;149.68130493164062;NA;NA;Cetara;21764;NA
127;NA;Cetara (serbatoio comunale);981471.4278127074;4516105.012827464;239.39630126953125;NA;NA;Cetara (serbatoio comunale);51651;NA
128;NA;Cetronico;981576.3669306918;4533310.269934472;279.9925537109375;NA;NA;Cetronico;15279;NA
129;NA;Cicciano;966384.8644443405;4549000.845980617;63.215084075927734;NA;NA;Cicciano;37539;NA
130;NA;Cologna;987936.0803876609;4523655.913470788;148.4527587890625;NA;NA;Cologna;21521;NA
131;NA;Corbara-s.egidio m.;973129.1634936472;4523313.419245425;243.1813201904297;NA;NA;Corbara-s.egidio m.;18923;NA
132;NA;Corleto monforte-savuco-serra nuda;1045378.0097365674;4496299.63722314;1182.0382080078125;NA;NA;Corleto monforte-savuco-serra nuda;51695;NA
133;NA;Forino;984348.6030721453;4539132.266282215;410.82568359375;NA;NA;Forino;18939;NA
134;NA;Giffoni valle piana;998933.6742492922;4531922.774443985;867.39691162109375;NA;NA;Giffoni valle piana;18964;NA
135;NA;Gragnano;967083.1019017429;4518653.976549504;310.4288330078125;NA;NA;Gragnano;21789;NA
136;NA;Forio;912077.8756778431;4520465.019200776;218.79786682128906;NA;NA;Forio;33430;NA
137;NA;Monte epomeo;913588.3739069924;4518290.1345206;298.08795166015625;NA;NA;Monte epomeo;18955;NA
138;NA;Piano liguori;918173.1668274191;4518423.902489485;164.08103942871094;NA;NA;Piano liguori;33433;NA
139;NA;Ischia;917753.7200453526;4521680.919226741;30.2595272064209;NA;NA;Ischia;33436;NA
140;NA;Laurino-villa littorio;1038286.5817914517;4487129.362486689;607.531005859375;NA;NA;Laurino-villa littorio;51703;NA
141;NA;Lettere;967434.003571605;4520565.830944886;267.36163330078125;NA;NA;Lettere;18927;NA
142;NA;Liberi;943289.0655902745;4577050.243972897;500.871337890625;NA;NA;Liberi;18889;NA
143;NA;Maiori;976901.1214934969;4515251.820545134;75.6014633178711;NA;NA;Maiori;21750;NA
144;NA;Massa lubrense;954505.1619114242;4508827.949091911;363.4907531738281;NA;NA;Massa lubrense;18921;NA
145;NA;Melito irpino;1008524.358384135;4566531.707808889;358.7987976074219;NA;NA;Melito irpino;37530;NA
146;NA;Mercogliano;982739.2716822741;4545720.458648993;775.95318603515625;NA;NA;Mercogliano;18937;NA
147;NA;Monteforte irpino;982130.3284499894;4541744.687427742;530.09173583984375;NA;NA;Monteforte irpino;18931;NA
148;NA;Morigerati bussento;1057697.5646481896;4463195.083397302;163.40184020996094;NA;NA;Morigerati bussento;37286;NA
149;NA;Mugnano del cardinale;973623.4160918349;4547481.694845402;237.20481872558594;NA;NA;Mugnano del cardinale;36881;NA
150;NA;Muro lucano;1047009.7398703998;4532291.45526258;643.16619873046875;NA;NA;Muro lucano;38540;NA
151;NA;Napoli camaldoli;938256.6477319654;4536057.628485577;331.0464172363281;NA;NA;Napoli camaldoli;18891;NA
152;NA;Napoli capodimonte;941068.9501068743;4536597.143903282;218.5598907470703;NA;NA;Napoli capodimonte;18949;NA
153;NA;Omignano scalo;1021425.2384507323;4474399.91184269;63.61366653442383;NA;NA;Omignano scalo;37384;NA
154;NA;Ottaviano;961871.9589516786;4537098.691189766;174.1328582763672;NA;NA;Ottaviano;18901;NA
155;NA;Pago veiano;994150.9134560903;4584392.684606641;292.5943908691406;NA;NA;Pago veiano;36914;NA
