Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
GIFFONI VALLEPIANA (Centrale Carpinelli)               ;40;43;27.1;14;56;58.5;200;14.94873939695302;40.72319608528884
GINESTRA DEGLI SCHIAVONI                               ;41;16;53.7;15;2;30.8;529;15.04102819314221;41.28059841599906
GIOI CILENTO / GIOI                                    ;40;17;23.5;15;13;4.9;668;15.217199508202723;40.2888447354719
GIOIA VECCHIA                                          ;41;54;1;13;44;6;1374;13.734094890091074;41.899297403737435
GRAGNANO                                               ;40;41;58.6;14;30;31.5;79;14.507883432816755;40.69861003505811
GRAZZANISE                                             ;41;5;33;14;6;27.9;14;14.106875884463046;41.091518865763405
GRAZZANISE(P.te Volturno)                              ;41;5;36.9;14;6;23;4;14.105515921313588;41.09258926019786
GROTTAMINARDA                                          ;41;4;9;15;3;45.9;411;15.061903917830133;41.06819193091368
GROTTAMINARDA (Ponte Doganella)                        ;41;4;11.1;15;6;6.9;341;15.101076135190826;41.06874975373069
GUARCINO                                               ;41;47;47;13;19;2.9;565;13.316577194598999;41.795404535075335
ISCHIA (Ponte) / ISCHIA (Pilastri)                     ;40;43;15;13;56;32.5;14;13.941496750966191;40.719822386269406
ISCHIA (Porto)                                         ;40;44;31.8;13;56;48.6;8;13.945943151357358;40.741176859115626
ISERNIA                                                ;41;35;27;14;13;39.9;426;14.226880933029994;41.58985438817643
ISOLA LIRI /Cartiera Boimond /SUP./S.Domenico di Sora  ;41;41;31;13;35;4.9;271;13.583803235912987;41.69096634736172
ITRI                                                   ;41;17;43;13;32;2.9;174;13.533252396721286;41.294293023008144
LACENO / LACENO LAGO                                   ;40;48;39.1;15;7;2;1065;15.11635625356872;40.80985593478659
LAGO FUCINO 8000 / FUCINO 8000 ;41;59;47;13;32;57;650;13.54825355681682;41.99540250863163
LAGO MATESE (Defenza)                                  ;41;25;4;14;25;47;1060;14.428850831060732;41.416806510549755
LAGO MATESE (S. Michele)                               ;41;25;31.2;14;22;56.4;1023;14.381442236645155;41.42433481617185
LAGO MATESE (Scennerato)                               ;41;24;28;14;25;26;1013;14.423004234434769;41.406806073529246
LAGO MATESE (Brecce) / LAGO MATESE (Brecce Enel        ;41;24;54;14;22;39;1018;14.37661034010091;41.414022234302244
LAURO                                                  ;40;52;53.9;14;38;3.3;213;14.633392008630418;40.880651551884206
